Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;13/02/2024 09:33:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-324769;379971;-2189273;2244069
1;-248299;301514;-2194769;2230198
1.5;-424023;483886;-2192474;2234027
2;99823;-51090;-2192233;2245077
2.5;-182;42619;-2187472;2237717
3;-175281;221526;-2194994;2238999
3.5;-226938;273667;-1953919;1993858
4;-63455;109552;-1283029;1317549
4.5;289888;-240723;-1129736;1181240
5;268924;-215947;-906791;957369
5.5;503548;-456664;-635036;678385
6;476594;-421496;-684485;731234
6.5;-158858;212055;-484563;532847
7;141656;-86086;-275541;321766
7.5;221291;-170684;-538118;596567
8;164474;-125325;-580510;632828
8.5;311530;-260077;-553908;599583
9;740226;-694822;-315482;367796
9.5;622494;-571193;-264308;304295
10;503754;-463105;-200107;246359
10.5;588969;-533925;-154806;200651
11;304839;-262326;-272269;315618
11.5;591966;-545682;-305799;348320
12;713467;-667011;-177971;217114
12.5;455126;-415388;-8684;57394
13;426609;-374514;-262423;305252
13.5;37609;14863;319664;-267837
14;105577;-57553;342137;-283672
14.5;262681;-211787;190077;-129647
15;424337;-377938;-5930;53638
15.5;420323;-355651;104589;-48359
16;565587;-512524;209912;-162275
16.5;557676;-515317;446808;-380403
17;436910;-396413;561966;-510478
17.5;179160;-129485;1042217;-985373
18;178242;-123304;635081;-577374
18.5;-452524;495583;1065719;-1011972
19;-522754;563740;1000897;-947324
19.5;-541303;584698;898411;-858603
20;-319739;373955;645446;-596739
20.5;-629015;669879;414609;-361287
21;-832800;869021;299338;-248115
21.5;-691197;746593;271287;-226284
22;-717844;773779;-245453;303727
22.5;-716526;773929;-310575;361242
23;-963539;1013892;-263416;307608
23.5;-1132554;1188415;-160172;211166
24;-1252734;1303281;-569734;624425
