Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;14/03/2024 10:13:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-327688;374125;-2194729;2243389
1;-243086;293470;-2195644;2237334
1.5;-422589;484037;-2192685;2244101
2;101884;-52781;-2192279;2239228
2.5;-2749;60191;-2191398;2237421
3;-177002;219169;-2191767;2248493
3.5;-222207;276857;-1956595;2011309
4;-61718;111798;-1285887;1332127
4.5;291562;-236742;-1130660;1173473
5;266255;-229145;-902904;956551
5.5;510603;-460178;-633124;675034
6;476476;-429564;-682938;736216
6.5;-157795;203354;-489544;527808
7;139687;-96029;-275829;325886
7.5;215095;-162136;-538770;582501
8;169326;-122277;-585761;644474
8.5;307267;-258430;-557385;609656
9;743163;-696146;-324378;371402
9.5;620661;-572005;-264130;320267
10;505835;-467922;-199846;251365
10.5;589097;-530684;-152646;211773
11;301504;-243772;-276828;325249
11.5;590263;-550514;-297153;353254
12;714706;-671387;-173308;225158
12.5;453992;-409623;-9686;63887
13;428686;-377343;-260762;316390
13.5;48068;821;318265;-274597
14;108234;-54312;337184;-283793
14.5;262885;-214224;195533;-154702
15;426284;-371166;-5012;62273
15.5;416765;-367569;100338;-49246
16;564861;-508753;206317;-153373
16.5;556844;-510664;444081;-387942
17;437771;-383770;558085;-521917
17.5;179676;-122028;1041733;-998733
18;176107;-119005;634692;-585984
18.5;-452330;504320;1066834;-1023513
19;-521924;571872;1001924;-957066
19.5;-541351;589452;897533;-841890
20;-320979;374035;643065;-608391
20.5;-623196;669466;407180;-370288
21;-828200;876319;294508;-239487
21.5;-685289;730475;273906;-223841
22;-719819;773993;-239700;282015
22.5;-720938;781610;-309339;352244
23;-968886;1024485;-263993;310848
23.5;-1133908;1183466;-158717;211687
24;-1253226;1306761;-567594;618970
